No.,Question,Answer
1,Describe the primary goal of the AI Crop Monitoring & Agricultural Intelligence Platform?,Not found in context.
2,What core AI/ML capabilities are integrated into this platform?,"The platform integrates computer vision, time-series forecasting, market analytics, explainable AI, and microfinance scoring."
3,What specific technologies are mentioned for edge computing and cloud-based retraining?,"For edge computing, the technologies mentioned are ONNX, TFLite, ONNX Runtime, tfliteruntime, smartphones, Raspberry Pi, and drones. For cloud-based retraining, the technologies mentioned are Google Colab, Kaggle, and free-tier cloud."
4,"If you were developing a new recommendation engine, in which directory would its production-ready code reside, and where would its initial experimental scripts be?","Its production-ready code would reside in src/, and its initial experimental scripts would be in notebooks/."
5,"Where would you find the configuration for the platform's CI/CD workflows, and what tool is specifically mentioned for defining these workflows?","The configuration for the platform's CI/CD workflows is found in .github/workflows/ci-cd.yml, and the tool specifically mentioned for defining these workflows is GitHub Actions."
6,How does the platform ensure reproducibility and versioning of datasets? Name the specific tool mentioned?,The platform ensures reproducibility and versioning of datasets by versioning datasets with hashes. The specific tool mentioned for dataset versioning is DVC.
7,"Why is Explainable AI considered important for this platform, especially for farmers?",Explainable AI is considered important because it builds trust with farmers.
8,"Explain how the platform supports ""Offline Mode"" for edge inference. What technologies are used to enable this, and where are the results stored locally?","The platform supports offline mode by deploying compressed models like TensorFlow Lite (TFLite) or ONNX on mobile and edge devices such as smartphones, Raspberry Pi, or drones for local inference. The tfliteruntime or ONNX Runtime is used for this inference. The results, including local predictions and recommendations, are stored locally in SQLite on these edge devices."
9,"Describe the ""Continuous Learning"" mechanism, including how farmer feedback is collected and used for model evolution?",Collect farmer feedback into SQLite (offline) and sync to MongoDB Atlas; retrain models monthly using Colab free GPUs. Use active learning strategies like uncertainty sampling.
10,"How does the platform provide ""Digital Finance"" capabilities, and what type of machine learning model is suggested for this? Where is the relevant data stored?","The platform provides Digital Finance capabilities through loan recommendations, which offer financial access. Logistic regression or boosting models are suggested for this. The relevant data is stored in the MongoDB Atlas loanrequests collection."
11,"What specific compliance measure is mentioned, and how is it implemented in terms of data storage and user rights?","GDPR-style logging is mentioned, implemented by encrypting farmer logs in the MongoDB Atlas cropmonitoring collection, and allowing farmers to request deletion. PyMongo is used for data access and audit logs are implemented."
12,"How does the platform address scalability for ""Multi-farm dashboards""?",Build dashboards in Streamlit (src/frontend/streamlitapp/dashboard.py). Fetch data from MongoDB Atlas for multi-farm views. Use Kubernetes for scaling.
13,"Beyond basic offline inference, how does the platform leverage ""Edge AI & On-Farm Inference""? What specific runtimes are used for cross-platform inference?","The platform leverages Edge AI and On-Farm Inference by deploying compressed models (ONNX, TFLite) on smartphones, Raspberry Pi, or drones. ONNX Runtime is used for cross-platform inference."
14,"Describe the concept of ""Adaptive Treatment Optimization"" and the role of MongoDB Atlas in this process. What advanced ML technique is suggested for this?",Adaptive Treatment Optimization involves storing historical actions in MongoDB Atlas to retrain dosage optimization models with new outcomes. The suggested advanced ML technique for this is reinforcement learning.
15,"How does the platform approach ""AI Pest/Disease Forecasting""? What data sources and model types are involved?",The platform approaches AI Pest/Disease Forecasting by using a weather API and an LSTM model to forecast outbreaks. It involves time-series data stored in the MongoDB Atlas yieldforecasts collection.
16,"Explain the ""Satellite + Drone Fusion"" process. What libraries are used for image alignment, and where is the metadata stored?",Process Sentinel-2 via Google Earth Engine or alternatives; fuse with drone images in fusionpipeline.py. Libraries like rasterio are used for alignment. Metadata is stored in MongoDB Atlas imagesmetadata collection.
17,"How is ""Gamification & Community"" implemented, and what MongoDB Atlas collection tracks farmer engagement?",Reward farmers for consistent use (Streamlit/Gradio leaderboards). Points are tracked in the MongoDB Atlas farmerfeedback collection.
18,"What technologies are suggested for ""Voice Interfaces"" to support local languages, and where are voice command logs stored?","Whisper (offline STT) or Vosk are suggested for local languages (Yoruba, Hausa, Igbo). Voice command logs are stored in MongoDB Atlas for analysis."
19,"When adding or updating datasets, what steps are required to maintain ""Licensing & Provenance""? What specific file and tool are used for tracking this?","Maintain manifest.csv with source, license, date, sha256 checksum. Use pandas to generate and validate, store metadata in MongoDB Atlas cropmonitoring collection. Use DVC for dataset versioning. Require farmer consent forms for uploads, storing them digitally in MongoDB Atlas users collection with timestamps. The specific file is manifest.csv and the tools used for tracking are pandas and DVC."
20,"Before training a supervised model, what are the key steps for ""Annotation & Label QA""? What metric is used to ensure quality, and how is it computed?","Use CVAT or Roboflow for annotations, export in COCO or YOLO formats, and store in MongoDB Atlas imagesmetadata collection. Set clear guidelines for resolution (min 1024x1024) and label taxonomy. Ensure inter-annotator agreement of greater than or equal to 0.75 using Cohen’s Kappa, computed with scikit-learn’s cohenkappascore."
21,"How is ""Data Validation"" performed before training and deployment? Name the specific tool used for schema checks and how it integrates with CI/CD?","Data Validation is performed before training and deployment by adding Great Expectations tests for correct file counts and schema checks, defining expectations in greatexpectations/expectations/, validating MongoDB Atlas data, and running pytest in CI/CD pipelines. The specific tool used for schema checks is Great Expectations. It integrates with CI/CD by running pytest in CI/CD pipelines, which integrates with GitHub Actions for automated validation."
22,"What is a ""Model Card,"" and when is it generated? How is it stored and tracked within the platform's ecosystem?","A Model Card is a document (model-card.md) that contains the intended use, limitations, and metrics (accuracy, F1-score) of a model. It is generated at each model release. It is saved in the MongoDB Atlas cropmonitoring collection and tracked in the MLflow registry, with metadata synced to MongoDB Atlas for multi-user access."
23,"Explain the process for ""Drift Detection & Retraining."" What tool is used to detect distribution drifts, and under what condition would retraining be triggered? How is this automated?",Evidently AI is used to detect distribution drifts. Retraining is triggered if macro-F1 drops below baseline. This process is automated with cron jobs or Airflow.
24,What specific MongoDB Atlas feature is mentioned for enhancing data encryption?,MongoDB Atlas client-side field-level encryption.
25,What are the defined Service Level Objectives (SLOs) for latency and uptime?,"Latency p95 is less than 200ms, and uptime is greater than or equal to 99.5%."
26,"How is ""Observability"" achieved, and where are metrics stored?","Observability is achieved by monitoring with Prometheus, Grafana, and OpenTelemetry. Metrics are stored in the MongoDB Atlas systemlogs collection."
27,"Describe the ""CI/CD & Testing Gates"" process. What specific checks block deployment, and how are staged deployments managed?","Before merging to production, GitHub Actions run tests (pytest, lint with black/flake8). Deployment is blocked if model accuracy drops below baseline, using conditional steps in workflows. Staged deployments are managed through canary rollouts with rollback triggers, implemented using Kubernetes deployments."
28,"What practices ensure ""Reproducibility"" for training runs and releases?","Pin seeds and dependencies using requirements.txt or pyproject.toml, and use random.seed(42) in code. Version datasets with hashes using DVC or Git LFS, storing metadata in MongoDB Atlas. Backup MongoDB Atlas weekly with mongodump for exports, automated via cron."
29,List at least three key MLOps tools or concepts a developer should be familiar with for this project?,"MLflow for experiment tracking, Docker/Kubernetes for deployment, and Prometheus/Grafana for monitoring."
30,"What specific techniques are mentioned for reducing model size for ""Edge AI"" deployment?",Pruning and Quantization are mentioned for reducing model size.
