No.,Question,Answer
1,"What is the primary purpose of the AI Crop Monitoring & Agricultural Intelligence Platform, and what key AI/ML capabilities does it integrate?","The AI Crop Monitoring & Agricultural Intelligence Platform is a professional-grade ecosystem for precision agriculture. It integrates computer vision, time-series forecasting, market analytics, explainable AI, and microfinance scoring."
2,List the three main target user groups for this platform and briefly describe how the system caters to each?,"Farmers: simple mobile/web interface. Cooperatives/NGOs: dashboards for group management. Enterprises: large-scale deployments with monitoring, compliance, and integration into supply chains."
3,"Explain the core architectural approach that combines edge computing with cloud-based retraining, and elaborate on its benefits regarding cost and scalability?","The system combines edge computing with cloud-based retraining. Edge computing involves offline models on phones, Raspberry Pi, or drones, while cloud-based retraining uses Google Colab, Kaggle, or free-tier cloud. This approach makes the system both low-cost and scalable."
4,Describe the intended use and typical contents for the following directories within the Crop Monitor project structure:?,"Notebooks/: Used for experiments in Google Colab or Jupyter, including exploratory data analysis (EDA), model prototyping, and initial training scripts. src/: Used for production-ready code, housing modular components like recommendation engines and core business logic. ai/: Used for training pipelines and model definitions, including scripts for model training, evaluation, and export to formats like ONNX or TFLite. docs/: Used to store guides for farmers, administrators, and deployment engineers, utilizing Sphinx or MkDocs for generating documentation from Markdown files. tests/: Used to ensure everything works before deployment, implementing unit tests with pytest, integration tests for API endpoints, and performance tests for model inference times."
5,"If you were developing a new image processing module for production, in which main directory would its code reside? What about scripts for exporting trained models to ONNX?","For a new image processing module for production, its code would reside in src/. Scripts for exporting trained models to ONNX would be in ai/."
6,Where would you expect to find configuration files for infrastructure deployment tools like Terraform or Kubernetes?,You would expect to find configuration files for infrastructure deployment tools like Terraform or Kubernetes in the deployment/ directory.
7,Data Sources: What types of multi-modal data does the platform leverage? Which tool is recommended for tracking dataset versions and ensuring reproducibility?,"The platform leverages multi-modal data including images, soil, weather, satellite, and drone. DVC is recommended for tracking dataset versions and ensuring reproducibility."
8,"Explainable AI: Name two specific Explainable AI techniques mentioned. How do they contribute to building trust with farmers, and where are their visual explanations integrated?","Two specific Explainable AI techniques mentioned are SHAP and Grad-CAM. They contribute to building trust with farmers. Grad-CAM is used in notebooks to show heatmaps, and both are integrated into dashboards for visual explanations."
9,"Continuous Learning: Outline the continuous learning mechanism, including how farmer feedback is collected, stored, and used for model retraining. What active learning strategy is suggested?",Collect farmer feedback into SQLite (offline) and sync to MongoDB Atlas. This feedback is used to retrain models monthly using Colab free GPUs. The suggested active learning strategy is uncertainty sampling.
10,"Offline Mode: How are models prepared and deployed for offline inference on edge devices? What runtime environments are used, and where are the results stored locally?","Models are prepared by exporting them to compressed TensorFlow Lite (TFLite) or ONNX formats. They are deployed on edge devices such as smartphones, Raspberry Pi, or drones. The runtime environments used for inference are tfliteruntime for Android/iOS and ONNX Runtime for cross-platform inference. The results are stored locally in SQLite on these edge devices."
